num	aire	surface	genre	titre
1	114.06	54.26	3F66AE	à la recherche du temps perdu
2	15.26	50.42	3F66AE	clarissa
3	79.20	60.61	3F66AE	les misérables
4	51.24	61.86	3F66AE	le vicomte de bragelonne
5	115.30	51.74	3F66AE	artamène
6	38.45	65.36	3F66AE	guerre et paix
7	5.01	52.34	3F66AE	de sang froid
8	5.24	52.34	3F66AE	voir
9	5.92	52.34	3F66AE	ravage
10	5.98	66.12	3F66AE	fourmis
11	6.70	52.34	3F66AE	un barrage contre la pacifique
12	6.59	61.71	3F66AE	la petite maison dans la prairie
13	13.37	68.64	3F66AE	da vinci code
14	3.18	62.18	3F66AE	la mécanique du coeur
15	6.74	52.34	3F66AE	le premier homme
16	5.65	51.74	3F66AE	diego et frida
17	3.45	51.74	3F66AE	petit déjeuner chez Tiffany
18	4.66	65.36	3F66AE	un amour de swann
19	5.17	46.28	3F66AE	lettres de mon moulin
20	3.38	65.32	3F66AE	l'écume des jours
21	9.09	34.44	D99203	le jardin extraordinaire
22	1.03	44.47	D99203	illuminations
23	5.01	50.14	D99203	les chansons d'abord
24	7.26	31.68	D99203	les fleurs du mal
25	3.73	53.78	D99203	cantique des cantiques
26	2.21	35.37	D99203	les orientales
27	2.28	34.06	D99203	je voudrais pas crever
28	5.68	36.96	D99203	axion esti
29	2.86	42.73	827323	antigone
30	2.12	50.69	827323	le misanthrope
31	2.79	50.69	827323	phèdre
32	2.96	50.69	827323	les fourberies de scapin
33	3.50	50.69	827323	rhinocéros
34	1.79	49.33	73AFE0	le petit prince
35	1.10	9.80	73AFE0	martine baby sitter
36	1.52	14.83	73AFE0	boucle d'or et les trois ours
37	5.16	47.89	73AFE0	le retour de l'étalon noir
38	3.88	47.06	73AFE0	l'âge heureux, le trésor des hollandais
39	0.97	40.28	73AFE0	l'ogre
40	0.90	24.67	73AFE0	à fond les rollers !
41	7.30	28.40	73AFE0	le magicien d'oz
42	12.08	47.89	73AFE0	à la croisé des mondes
43	2.48	56.28	73AFE0	coup de gogot
44	4.99	50.02	73AFE0	le dernier des vampires
45	4.03	52.34	73AFE0	dix petits nègres
46	6.13	9.49	73AFE0	les fables de la fontaine
